7 × 1 = 	6 × 1 = 	77 ÷ 7 = 	8 ÷ 2 = 
12 × 1 = 	45 ÷ 9 = 	11 × 3 = 	10 × 6 = 
2 × 2 = 	2 × 9 = 	10 ÷ 2 = 	10 × 2 = 
8 × 12 = 	12 × 9 = 	44 ÷ 4 = 	27 ÷ 3 = 
12 × 11 = 	4 × 2 = 	4 × 10 = 	3 × 12 = 
9 × 7 = 	5 × 10 = 	36 ÷ 4 = 	12 ÷ 3 = 
108 ÷ 9 = 	63 ÷ 9 = 	84 ÷ 12 = 	10 × 1 = 
11 × 4 = 	5 × 11 = 	96 ÷ 12 = 	4 × 1 = 
72 ÷ 8 = 	40 ÷ 10 = 	27 ÷ 9 = 	9 ÷ 9 = 
9 × 5 = 	10 × 3 = 	7 × 5 = 	15 ÷ 3 = 
4 × 3 = 	1 × 2 = 	28 ÷ 4 = 	99 ÷ 9 = 
90 ÷ 9 = 	9 × 6 = 	60 ÷ 12 = 	8 × 10 = 
63 ÷ 7 = 	20 ÷ 4 = 	7 × 4 = 	1 × 1 = 
