10 × 4 = 	1 × 7 = 	10 ÷ 2 = 	3 × 4 = 
7 × 12 = 	36 ÷ 4 = 	35 ÷ 7 = 	132 ÷ 11 = 
6 ÷ 3 = 	11 × 11 = 	5 × 3 = 	2 × 1 = 
10 × 10 = 	2 × 7 = 	18 ÷ 3 = 	2 × 8 = 
44 ÷ 11 = 	7 × 8 = 	21 ÷ 3 = 	40 ÷ 4 = 
48 ÷ 6 = 	4 × 3 = 	12 × 4 = 	49 ÷ 7 = 
30 ÷ 5 = 	72 ÷ 9 = 	20 ÷ 2 = 	12 ÷ 3 = 
4 ÷ 2 = 	81 ÷ 9 = 	3 × 2 = 	8 × 1 = 
9 ÷ 3 = 	64 ÷ 8 = 	108 ÷ 12 = 	10 × 9 = 
44 ÷ 4 = 	2 ÷ 2 = 	11 × 4 = 	3 × 7 = 
55 ÷ 11 = 	4 × 8 = 	22 ÷ 11 = 	36 ÷ 6 = 
7 × 10 = 	10 × 2 = 	27 ÷ 9 = 	7 × 3 = 
6 × 12 = 	7 × 4 = 	84 ÷ 7 = 	30 ÷ 3 = 
70 ÷ 10 = 	9 ÷ 1 = 	6 × 9 = 	6 ÷ 6 = 
12 × 10 = 	8 ÷ 8 = 	8 × 8 = 	66 ÷ 11 = 
